x1,y
0.7,330.8
2.1,246.3
3,356.5
4,353.7
5.1,71.4
6.1,446.7
6.9,449.7
7.9,466.5
9,341.1
10,230
10.9,399.7
12,572.7
13,515.4
14.1,324.2
15.1,388.6
15.9,510.7
17.1,372.4
17.9,402.9
18.9,679.8
20,770
21,517.8
22.1,581.6
23.1,618.3
23.9,695.3
24.9,798.5
25.9,898.2
27.1,905.3
28,624.4
29.1,948.1
30,991.4
31.1,821.5
31.9,965.2
33,810.3
34.1,1115.7
35.1,1066.5
36.1,848.1
37.1,1161.4
37.9,1004
39,929.2
40,1136.7
40.9,969.1
42.1,1306.5
43.1,1063.2
44,1243.8
45.1,1194.9
46.1,1234.6
47.1,1107.9
48,1206.5
49,1420.8
50.1,1178.9
